instance,nCustomers,cost,optimal
Augerat-1995-Set-A/A-n63-k10,63,1314,1
Augerat-1995-Set-B/B-n63-k10,63,1496,1
Augerat-1995-Set-A/A-n64-k09,64,1401,1
Augerat-1995-Set-B/B-n64-k09,64,861,1
Augerat-1995-Set-A/A-n65-k09,65,1174,1
Augerat-1995-Set-P/P-n065-k10,65,792,1
Augerat-1995-Set-B/B-n66-k09,66,1316,1
Augerat-1995-Set-B/B-n67-k10,67,1032,1
Augerat-1995-Set-B/B-n68-k09,68,1272,1
Augerat-1995-Set-A/A-n69-k09,69,1159,1
Augerat-1995-Set-P/P-n070-k10,70,827,1
Fisher-1994-Set-F/F-n072-k4,72,237,1
Augerat-1995-Set-P/P-n076-k04,76,593,1
Augerat-1995-Set-P/P-n076-k05,76,627,1
Christofides-and-Eilon-1969-Set-E/E-n076-k07,76,682,1
Christofides-and-Eilon-1969-Set-E/E-n076-k08,76,735,1
Christofides-and-Eilon-1969-Set-E/E-n076-k10,76,830,1
Christofides-and-Eilon-1969-Set-E/E-n076-k14,76,1021,1
Christofides-et-al.-1979/CMT02,76,835.262,0
Christofides-et-al.-1979/CMT07,76,909.675,0
Augerat-1995-Set-B/B-n78-k10,78,1221,1
Augerat-1995-Set-A/A-n80-k10,80,1763,1
Augerat-1995-Set-P/P-n101-k04,101,681,1
Christofides-and-Eilon-1969-Set-E/E-n101-k08,101,815,1
Christofides-and-Eilon-1969-Set-E/E-n101-k14,101,1067,1
Christofides-et-al.-1979-Set-M/M-n101-k10,101,820,1
Christofides-et-al.-1979/CMT03,101,826.137,0
Christofides-et-al.-1979/CMT08,101,865.945,0
Christofides-et-al.-1979/CMT12,101,819.558,0
Christofides-et-al.-1979/CMT14,101,866.365,0
Christofides-et-al.-1979-Set-M/M-n121-k07,121,1034,1
Christofides-et-al.-1979/CMT11,121,1042.12,0
Christofides-et-al.-1979/CMT13,121,1541.14,0
Christofides-et-al.-1979-Set-M/M-n151-k12,151,1015,1
Christofides-et-al.-1979/CMT04,151,1028.42,0
Christofides-et-al.-1979/CMT09,151,1162.55,0
Christofides-et-al.-1979-Set-M/M-n200-k16,200,1274,1
Christofides-et-al.-1979-Set-M/M-n200-k17,200,1373,1
Christofides-et-al.-1979/CMT05,200,1291.289144,0
Christofides-et-al.-1979/CMT10,200,1395.85,0
Golden-et-al.-1998/Golden_13,253,857.189,0
Golden-et-al.-1998/Golden_09,256,579.713,0
Golden-et-al.-1998/Golden_14,321,1080.55,0
Golden-et-al.-1998/Golden_10,324,736.256,0
Golden-et-al.-1998/Golden_15,397,1337.92,0
Golden-et-al.-1998/Golden_11,400,912.838,0
Golden-et-al.-1998/Golden_16,481,1612.5,0
Golden-et-al.-1998/Golden_12,484,1102.69,0
